id,id_origen,objetivo_de_la_iniciativa,breve_descripcion,tipo_de_proyecto,codigo_de_sistema,sistema_de_abastecimiento,zona,prioridad,plazo,costo,estado,principal_reto_por_superar,observacion,responsabilidad_atencion,activo,caudal_estimado_lps,volumen_estimado_m3,km_estimado
49,,Mejorar el sistema Lajas mediante estaciones de bombeo y nuevo tanque,"Construcción de estación de bombeo en tanque Naranjal para impulsar caudal hacia tanque Lajas; construcción de segunda estación de bombeo en Lajas, impulsión hacia sector alto, compra de terreno para nuevo tanque y servidumbre para tubería de impulsión.",Mejora en Almacenamiento,MEA19,ME-A-19 Puente Mulas,,,,,,"Contratación administrativa; permisos, servidumbres, derechos de paso, viabilidades ambientales y autorizaciones.","Fase: idea de proyecto. Responsable: SAID. Horizonte: 2028. Verificar código de sistema, porque en otros insumos Lajas aparece como MEA-29.",,,,500.0,
50,,Implementar tratamiento de aguas residuales en plantas potabilizadoras,"Diseño y construcción de infraestructura para tratamiento de aguas residuales generadas en procesos de potabilización, conforme a normativa de vertido y reúso.",Mejora en procesos de potabilización,Todos los sistemas AyA,Todos los sistemas AyA,,,,,,"Permisos ambientales, viabilidades técnicas y autorizaciones; limitaciones físicas, estructurales o de espacio en plantas existentes.",Fase: idea de proyecto. Responsable: SAID. Horizonte: 2028. Aplicación institucional amplia.,,,,,
51,,Fortalecer el sector oeste del Acueducto Metropolitano,"Programa integral de intervenciones escalonadas para mejorar disponibilidad hídrica, transporte hidráulico, almacenamiento, operación e interconexión con sistemas colindantes de Puriscal y Mora.",Optimización,MEA31,ME-A-31 Puriscal,,,,,,Integración hidráulica con infraestructura existente; disponibilidad de fuentes; afectaciones temporales durante interconexiones o sustitución de infraestructura; ajustes operativos en puesta en marcha.,Fase: idea de proyecto. Responsable: SAID. Horizonte: 2029. Corresponde a un programa de fortalecimiento del sector oeste del Acueducto Metropolitano.,,,,,
52,,Fortalecer el sector oeste del Acueducto Metropolitano,"Programa integral de intervenciones escalonadas para mejorar disponibilidad hídrica, transporte hidráulico, almacenamiento, operación e interconexión con sistemas colindantes de Puriscal y Mora.",Optimización,MEA24,ME-A-24 Matinilla,,,,,,Integración hidráulica con infraestructura existente; disponibilidad de fuentes; afectaciones temporales durante interconexiones o sustitución de infraestructura; ajustes operativos en puesta en marcha.,Fase: idea de proyecto. Responsable: SAID. Horizonte: 2029. Corresponde a un programa de fortalecimiento del sector oeste del Acueducto Metropolitano.,,,,,
53,,Fortalecer el sector oeste del Acueducto Metropolitano,"Programa integral de intervenciones escalonadas para mejorar disponibilidad hídrica, transporte hidráulico, almacenamiento, operación e interconexión con sistemas colindantes de Puriscal y Mora.",Optimización,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,Integración hidráulica con infraestructura existente; disponibilidad de fuentes; afectaciones temporales durante interconexiones o sustitución de infraestructura; ajustes operativos en puesta en marcha.,Fase: idea de proyecto. Responsable: SAID. Horizonte: 2029. Corresponde a un programa de fortalecimiento del sector oeste del Acueducto Metropolitano.,,,,,
54,,Fortalecer el sector oeste del Acueducto Metropolitano,"Programa integral de intervenciones escalonadas para mejorar disponibilidad hídrica, transporte hidráulico, almacenamiento, operación e interconexión con sistemas colindantes de Puriscal y Mora.",Optimización,MEA26,ME-A-26 Ticufres-Quebrada Honda,,,,,,Integración hidráulica con infraestructura existente; disponibilidad de fuentes; afectaciones temporales durante interconexiones o sustitución de infraestructura; ajustes operativos en puesta en marcha.,Fase: idea de proyecto. Responsable: SAID. Horizonte: 2029. Corresponde a un programa de fortalecimiento del sector oeste del Acueducto Metropolitano.,,,,,
55,,Estabilizar terreno en Planta Potabilizadora Tres Ríos,"Obras de estabilización en la margen derecha del río Tiribí para reducir el riesgo de afectación al consultorio médico, camino interno de acceso y estación de desinfección.",Mantenimiento Correctivo y Preventivo,MEA01,ME-A-01 Tres Rios,,,,,,Riesgo de deslizamiento y afectación de infraestructura operativa interna.,"Impacto principal: continuidad. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Licitaciones relacionadas: 2024LY-000029-0021400001 y 2023LY-000013-0021400001 estabilización. Ruta propuesta: estabilización. No requiere solicitud de necesidad de proyecto. Ejecución: LC, requiere 1 Ejecutivo Avanzado y 2 GE.",,,,,
56,,Revisar hidráulicamente el túnel Carpiente,"Revisión del ingreso de agua al tubo proveniente de la carpintera, por posible incremento de oxígeno disuelto que genera levantamiento de floc.",Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,Determinar causa hidráulica del levantamiento de floc y proponer corrección de diseño.,Impacto principal: calidad. Apoyo requerido: PyC para diseño o revisión hidráulica. Ruta propuesta: diseño / PyC. No requiere solicitud de necesidad de proyecto. Ejecución: Diseño PyC / LC.,,,,,
57,,Construir zona de almacenamiento y dosificación para carbón activado y alcalinizante,"Construcción de infraestructura para almacenamiento y dosificación de carbón activado en polvo y alcalinizante, con el fin de mitigar baja alcalinidad y elevado color del agua cruda proveniente del embalse Orosí.",Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,"Mejorar coagulación, floculación y remoción de color sin reducir caudal por aumento de tiempos hidráulicos.","Impacto principal: calidad y cantidad. Apoyo: SAID. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
58,,Construir nueva cámara de ingreso en Tres Ríos,"Construcción de una cámara que unifique y mezcle los ingresos de agua cruda de las secciones Orosí y Tiribí, para distribuir agua con condiciones homogéneas a cada sección.",Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,Mezclar caudales con características fisicoquímicas diferentes e incorporar zona de almacenamiento y dosificación de insumos químicos.,"Impacto principal: calidad, cantidad y continuidad. Apoyo: SAID. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
59,,Remodelar y optimizar floculadores y sedimentadores de la sección Orosí,"Conversión de unidades de floculación y sedimentación en unidades independientes, rediseño de floculadores y conversión a sedimentación de alta tasa con tolvas de lodos.",Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,"Evitar vaciados completos mensuales de unidades, reducir desperdicio de agua y mejorar manejo de lodos sedimentados.","Impacto principal: calidad y cantidad. Se indica desperdicio aproximado de 5.000 m³ por unidad y 15.000 m³ mensuales. Apoyo: SAID. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
60,,Implementar filtración secundaria en Tres Ríos,Construcción de etapa adicional de filtración rápida en lechos de carbón activado para atender eventos de color elevado en agua cruda de Orosí.,Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,"Reducir frecuencia de retrolavados, evitar regulación de caudal y mantener producción más constante.","Impacto principal: calidad. Apoyo: SAID. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
61,,Implementar tratamiento de aguas residuales en Tres Ríos,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA01,ME-A-01 Tres Rios,,,,,,"Cumplir mandato normativo y gestionar adecuadamente aguas de lavado, lodos y recirculación.","Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
62,,Modificar canal de ingreso en Los Sitios,Modificación del canal de ingreso para alimentar adecuadamente las secciones de tratamiento.,Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,,"Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001, según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
63,,Construir nuevo vertedero de salida de filtros en Los Sitios,Construcción de nuevo vertedero para desahogar el nivel de filtros.,Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,Mejorar control hidráulico en salida de filtros.,"Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001, según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
64,,Dividir filtros en Los Sitios,División de filtros existentes para mejorar la operación hidráulica y el mantenimiento de las unidades.,Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,,"Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001, según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
65,,Instalar pantalla en sección vieja de Los Sitios,Colocación de pantalla en la sección vieja de la planta para mejorar el comportamiento hidráulico de la unidad.,Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,,"Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001, según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
